id,name,price,discounted_price,name_slug
15,Big Beautiful Buys Course 2022 ,160000.00,999.00,dh-15
16,Trading Spell Master Technical Analysis Program ,100000.00,999.00,dh-16
17,Siva Option Scalping 9th Mentorship Program ,47999.00,799.00,dh-17
18,Logic Trading Mentorship Program ,45000.00,799.00,dh-18
19,Sunil Minglani Master Trader Program Course ,45000.00,799.00,dh-19
20,Sunil Minglani Neo Wave by Dr. Sanjay Course ,36000.00,799.00,dh-20
21,Siva Option Scalping 8th Mentorship Program ,35000.00,799.00,dh-21
22,Stock Khazaana Academy Mentorship Program 2021 ,34999.00,799.00,dh-22
23,Dr. Sanjay Advanced Neo Wave Analysis Course ,30000.00,799.00,dh-23
24,Stock Phoenix Webinar ,29999.00,799.00,dh-24
25,Power of Stocks Complete Trader Program Course ,29000.00,499.00,dh-25
26,Thicc Wicc Pro Mentorship Course ,28000.00,499.00,dh-26
27,Booming Bulls Course ,26000.00,499.00,dh-27
28,Madras Trader Ultimate Crypto Trading Course ,25897.00,499.00,dh-28
29,King Research Advance and Secret Technical Analysis Course ,25280.00,499.00,dh-29
30,Madras Trader Option Buying Course ,25000.00,499.00,dh-30
31,Trading Hub 3 Course ,25000.00,499.00,dh-31
32,Madras Trader Ultimate Trading Membership Course ,21400.00,349.00,dh-32
33,Avadhut Sathe Futures and Options Made Easy (FOME) Course ,21000.00,349.00,dh-33
34,Avadhut Sathe Secret of Stock Market (SMM) Course ,21000.00,349.00,dh-34
35,Avadhut Sathe Pay Attention to Price Action (PAPA) Course ,21000.00,349.00,dh-35
36,Avadhut Sathe Get The Ultimate Edge Over Others (GUE) Course ,21000.00,349.00,dh-36
37,Pivot Call 25 Day trading strategies in Nifty & Bank Nifty Course ,20000.00,349.00,dh-37
38,Monk Trader Automation Vault Course ,19999.00,349.00,dh-38
39,Monk Trader Platinum Level 2 System Course ,19999.00,349.00,dh-39
40,Monk Trader Inner Circle Foundation Course ,19999.00,349.00,dh-40
41,Monk Trader Strategy Vault Course ,19999.00,349.00,dh-41
42,MoneyBall Crypto Domination 101 Course ,18499.00,349.00,dh-42
43,Avadhut Sathe Trading Academy (ASTA) Sessions,18000.00,349.00,dh-43
44,Rishab Tibrenwal Mentorship Live Classes ,18000.00,349.00,dh-44
45,The Chartistt Full Time Batch Course  2022,18000.00,349.00,dh-45
46,Big Bull Technical Analysis and Options Course 2022 ,16000.00,349.00,dh-46
47,LeapUp Ultimate Trading Bootcamp ,15000.00,349.00,dh-47
48,Monk Trader Swing Trading Mastery Course ,14999.00,349.00,dh-48
